code,tags,author,solved,attempted,partiallySolved
SUBLCM,"['cook50', 'dynamic-programming', 'lcm', 'math', 'medium', 'darkshadows']",darkshadows,1254,7062,0
STFM,"['easy', 'feb15', 'math', 'antoniuk1']",antoniuk1,34796,47087,0
LEBINARY,"['bignum', 'cook25', 'maths', 'shilp_adm']",shilp_adm,96,524,0
CKISSHUG,"['exponentiation', 'maths', 'matrix-expo', 'sep12', 'kaush_adm']",kaush_adm,3329,14846,0
CROWD,"['maths', 'matrix-expo', 'sep12', 'vamsi_adm']",vamsi_adm,1342,8740,0
CHEFWD,"['fibonacci', 'maths', 'matrix-expo', 'sep12', 'div_adm']",div_adm,672,3988,0
LUCKY9,"['binomial', 'maths', 'medium', 'nov12', 'witaliy_adm']",witaliy_adm,339,1103,0
CHANGE,"['advanced-math', 'hard', 'march13', 'maths', 'david_adm']",david_adm,44,273,0
CYLINDER,"['april13', 'maths', 'medium', 'anton_adm']",anton_adm,492,5003,0
TREE,"['easy', 'kirchhoff', 'maths', 'may13', 'jingbo_adm']",jingbo_adm,536,2057,0
NEWSCH,"['matrix-expo', 'oct12', 'simple', 'vitalij_adm']",vitalij_adm,2229,7194,0
CBARS,"['matrix-expo', 'nov12', 'simple', 'vitalij_adm']",vitalij_adm,394,1079,0
LEPAPER,"['cook28', 'dynamic-programming', 'hard', 'matrix-expo', 'witaliy_adm']",witaliy_adm,19,54,0
TAPALIN,"['cook32', 'matrix-expo', 'modulo', 'simple', 'simple-math', 'tuan_adm']",tuan_adm,1244,3948,0
KAN13D,"['kan13acm', 'matrix-expo', 'medium', 'jingbo_adm']",jingbo_adm,69,486,0
IITK1P09,"['dynamic-programming', 'iitk', 'matrix-expo', 'wpc', 'wpc1', 'wpc1401', 'admin2']",admin2,24,88,0
GNUM,"['hard', 'july14', 'maths', 'maxflow', 'darkshadows']",darkshadows,472,3778,0
IITK1P04,"['iitk', 'iitkpc04', 'maxflow', 'wpc', 'wpc1', 'wpc1401', 'admin2']",admin2,109,306,0
RIN,"['dec14', 'graph', 'hard', 'maxflow', 'chen_adm']",chen_adm,447,1003,0
CHEFBOOK,"['hard', 'june15', 'lp', 'maxflow', 'shiplu_adm']",shiplu_adm,138,559,0
RECRECOV,"['easy-medium', 'maxflow', 'maximum-flow', 'nov15', 'cenadar']",cenadar,605,2174,0
TABLECOV,"['dilworth', 'dynamic-programming', 'ltime32', 'maxflow', 'partial-order', 'kostya_by']",kostya_by,43,119,0
CALLSCHE,"['feb16', 'graph', 'maxflow', 'medium', 'minimum-cut', 'cenadar']",cenadar,817,2362,0
FLOORDIS,"['march16', 'maxflow', 'medium', 'mincut-maxflow', 'minimum-cut', 'cenadar']",cenadar,249,630,0
MAXPER,"['algophobic', 'alph2016', 'maxflow', 'medium-hard', 'daga_07']",daga_07,1,13,0
HULL,"['june12', 'medium', 'polygons', 'vectors', 'jingbo_adm']",jingbo_adm,85,797,0
GRAYSC,"['july12', 'medium', 'pigeonhole', 'search', 'jingbo_adm']",jingbo_adm,1078,6326,0
LEBOBBLE,"['july12', 'medium', 'probability', 'segment-tree', 'witaliy_adm']",witaliy_adm,392,1595,0
CIELNUM3,"['cook24', 'medium', 'hiroto_adm']",hiroto_adm,28,164,0
BMASTER,"['medium', 'oct12', 'roman_adm']",roman_adm,384,3691,0
TABISHOP,"['ad-hoc', 'cook32', 'line-sweep', 'medium-hard', 'order-statistic', 'tuan_adm']",tuan_adm,34,283,0
PERMUTE,"['ad-hoc', 'june13', 'medium-hard', 'imran_adm']",imran_adm,734,2420,0
LYRC,"['aho-corasick', 'aug13', 'dynamic-programming', 'medium-hard', 'string', 'kaush_adm']",kaush_adm,554,5650,0
ZENCALC,"['ad-hoc', 'march13', 'medium', 'modulo', 'kaush_adm']",kaush_adm,86,1734,0
INVBINCF,"['april13', 'factorial', 'hard', 'modulo', 'anton_adm']",anton_adm,40,431,0
CHFQUEUE,"['arithmetic', 'cakewalk', 'ltime05', 'modulo', 'multiplication', 'queue', 'stack', 'vineet_adm']",vineet_adm,593,1606,0
GOC201,"['mathematics', 'modulo', 'giriraj']",giriraj,49,356,0
GOC204,"['modulo', 'progression', 'giriraj']",giriraj,78,224,0
GOOGOL01,"['easy-medium', 'modulo', 'petr-visits-ism', 'surajjumpy']",surajjumpy,33,484,0
CHN15A,"['acmchn15', 'cakewalk', 'modulo', 'arjunarul']",arjunarul,6446,12283,0
QNUMBER,"['factors', 'number-theory', 'sep12', 'kam_adm']",kam_adm,763,7014,0
JUNONGF,"['exponentiation', 'may13', 'medium', 'number-theory', 'simple-math', 'mischievous_me']",mischievous_me,686,6751,0
COOLGUYS,"['easy', 'number-theory', 'sept13', 'roman_adm']",roman_adm,2404,11145,0
FN,"['maths', 'medium-hard', 'number-theory', 'oct13', 'aekd_adm']",aekd_adm,206,3590,0
MAANDI,"['divisors', 'number-theory', 'oct13', 'simple', 'sereja_adm']",sereja_adm,3849,10930,0
FUNC,"['binary-search', 'june14', 'medium', 'number-theory', 'vivek_adm']",vivek_adm,1483,21568,0
TACHEMIS,"['cook36', 'medium', 'palindrome', 'strings', 'tuan_adm']",tuan_adm,119,1074,0
PALPROB,"['dfs', 'ltime23', 'medium-hard', 'palindrome', 'sergey_adm']",sergey_adm,453,1079,0
SPALNUM,"['ad-hoc', 'ltime28', 'palindrome', 'simple', 'sergey_adm']",sergey_adm,8743,14882,0
PP,"['cook63', 'medium-hard', 'palindrome', 'rolling-hash', 'strings', 'trie', 'jingbo_adm']",jingbo_adm,160,1703,0
PALSTR,"['cook66', 'dynamic-programming', 'medium-hard', 'palindrome', 'strings', 'z-algorithm', 'ma5termind']",ma5termind,23,112,0
EXPALIN,"['ltime32', 'palindrome', 'string', 'kostya_by']",kostya_by,876,1185,0
CODE1603,"['coit2016', 'easy-medium', 'medium', 'palindrome', 'palindromes', 'strings', 'devender123_']",devender123_,7,16,0
NDIFFPAL,"['ad-hoc', 'dynamic-programming', 'easy', 'palindrome', 'snckpa16', 'strings', 'sergey_adm']",sergey_adm,5027,7748,0
EXOCODE3,"['algorithm', 'hashing', 'important', 'palindrome', 'string', 'vivek96']",vivek96,31,183,0
PALINREP,"['cakewalk', 'palindrome', 'popc2018', 'akshayvenkat97']",akshayvenkat97,39,67,0
LEFEED,"['cook33', 'medium', 'probability', 'witaliy_adm']",witaliy_adm,140,436,0
FTRIP,"['may13', 'probability', 'simple', 'simple-math', 'vamsi_adm']",vamsi_adm,1219,6737,0
PREDICT,"['easy', 'june13', 'probability', 'mani_adm']",mani_adm,3255,9081,0
PROB,"['july13', 'probability', 'simple', 'simple-math', 'ivanz_adm']",ivanz_adm,2412,3921,0
TAAPLUSB,"['cook36', 'easy', 'maths', 'probability', 'tsaplusb', 'tuan_adm']",tuan_adm,978,2286,0
LEEXAMS,"['brute-force', 'easy', 'probability', 'sept13', 'witaliy_adm']",witaliy_adm,1623,5374,0
CHGLSTGT,"['dynamic', 'ltime05', 'palindromes', 'programming', 'simple', 'strings', 'vineet_adm']",vineet_adm,759,1699,0
CHODE,"['cakewalk', 'dec13', 'programming', 'vitalij_adm']",vitalij_adm,2172,8060,0
GERALD04,"['cook41', 'easy', 'programming', 'gerald']",gerald,2230,6135,0
ERROR,"['cakewalk', 'jan14', 'programming', 'vivek_adm']",vivek_adm,12807,29992,0
MTRICK,"['easy-medium', 'jan14', 'programming', 'simple-math', 'nikhil_adm']",nikhil_adm,2603,22095,0
PLZLYKME,"['jan14', 'programming', 'simple', 'kaush_adm']",kaush_adm,7681,27994,0
WALK,"['cakewalk', 'march14', 'programming', 'berezin']",berezin,8855,22362,0
WSC,"['cakewalk', 'construction', 'language', 'ltime18', 'programming', 'sergey_adm']",sergey_adm,390,2571,0
ACM14KN1,"['acmkan14', 'cakewalk', 'programming', 'admin']",admin,1150,3117,0
ACM14KG2,"['acmkg14r', 'cakewalk', 'programming', 'admin']",admin,824,1359,0
NOKIA,"['cook23', 'recursion', 'simple', 'anil_adm']",anil_adm,1618,3391,0
IITK1P07,"['medium', 'recursion', 'wpc1', 'wpc1401', 'admin2']",admin2,356,3400,0
ANDTUPLE,"['bit', 'dynamic-programming', 'easy-medium', 'ltime17', 'memoization', 'recursion', 'piyushkumar']",piyushkumar,306,799,0
TRISQ,"['cakewalk', 'cook55', 'geometry', 'recursion', 'devuy11']",devuy11,10643,16491,0
STRAB,"['cook56', 'dynamic-programming', 'easy-medium', 'recursion', 'witaliy_adm']",witaliy_adm,201,913,0
GOOGOL03,"['dfs', 'graph', 'mst', 'recursion', 'surajjumpy']",surajjumpy,37,132,0
CHEFMATH,"['dynamic-programming', 'easy-medium', 'may16', 'meet-in-middle', 'recursion', 'omelyanenko']",omelyanenko,5312,7974,0
EURO,"['cook70', 'dynamic-programming', 'medium-hard', 'recursion', 'wwwwodddd']",wwwwodddd,17,177,0
LFSTACK,"['dynamic-programming', 'ltime39', 'memoization', 'recursion', 'simple-easy', 'sergey_adm']",sergey_adm,3348,6228,0
CDIT04,"['batman', 'cdit2016', 'medium', 'recursion', 'tree', 'vs', 'akshatjain2209']",akshatjain2209,1,23,0
MSTICK,"['may13', 'segment-tree', 'simple', 'simple-math', 'mani_adm']",mani_adm,2674,16267,0
UNIQUE,"['cook43', 'hard', 'lcp', 'segment-tree', 'string', 'suffix-array', 'shiplu_adm']",shiplu_adm,85,329,0
SEAD,"['binary-search', 'ltime09', 'medium', 'segment-tree', 'sparse-tables', 'sereja_adm']",sereja_adm,382,701,0
CHEFD,"['bit', 'ltime16', 'medium', 'sets', 'furko_adm']",furko_adm,2167,3578,0
PAINTBOX,"['ltime22', 'medium', 'segment-tree', 'sets', 'piyushkumar']",piyushkumar,274,916,0
VCS,"['cakewalk', 'cook57', 'sets', 'kostya_by']",kostya_by,5419,8846,0
MANYLIST,"['hard', 'ltime28', 'segment-tree', 'sets', 'sergey_adm']",sergey_adm,1328,2158,0
PLANEDIV,"['dec15', 'euclidean', 'gcd', 'parallel', 'sets', 'simple', 'sorting', 'cenadar']",cenadar,3044,20678,0
CODE1602,"['cakewalk', 'coit2016', 'easy', 'sets', 'subsets', 'devender123_']",devender123_,13,57,0
CAPIMOVE,"['data-structure', 'heap', 'jan17', 'sets', 'simple', 'sorting', 'tree', 'cenadar']",cenadar,12681,22645,0
NOTINCOM,"['basic-prog', 'cakewalk', 'ltime44', 'sets', 'sergey_adm']",sergey_adm,8228,16455,0
CLOSESTQ,"['divide-and-conquer', 'ltime47', 'medium-hard', 'sets', 'sqrt', 'gainullinildar']",gainullinildar,653,1123,0
HOMDEL,"['aug12', 'shortest-path', 'vamsi_adm']",vamsi_adm,2737,7303,0
LECOINS,"['dynamic-programming', 'hard', 'march13', 'shortest-path', 'simple-math', 'witaliy_adm']",witaliy_adm,117,612,0
COTA,"['bitmasking', 'cook43', 'graph', 'hard', 'shortest-path', 'shiplu_adm']",shiplu_adm,29,78,0
REVERSE,"['aug14', 'easy', 'graph', 'shortest-path', 'berezin']",berezin,3116,14954,0
KGP14G,"['dynamic-programming', 'kgp14ros', 'medium-hard', 'shortest-path', 'admin3']",admin3,29,100,0
AVGSHORT,"['bellman-ford', 'easy-medium', 'graph', 'ltime39', 'shortest-path', 'sergey_adm']",sergey_adm,221,1484,0
MINWALK,"['dijkstra', 'easy-medium', 'graph', 'shortest-path', 'gvaibhav21']",gvaibhav21,228,845,0
LEVY,"['april13', 'sieve', 'simple', 'kaush_adm']",kaush_adm,3503,13751,0
KPRIME,"['july13', 'memoization', 'sieve', 'simple', 'vamsi_adm']",vamsi_adm,3642,16702,0
PRETNUM,"['easy', 'nov13', 'prime-factor', 'sieve', 'ivanz_adm']",ivanz_adm,1959,12019,0
CDQU1,"['cdqu2014', 'prime', 'sieve', 'simple', 'animesh_f']",animesh_f,454,646,0
CBALLS,"['easy', 'jan16', 'primenumbers', 'sieve', 'amitpandeykgp']",amitpandeykgp,8265,17828,0
AUDH,"['aust2016', 'number-theory', 'sieve', 'shakilaust']",shakilaust,191,896,0
YCCE02,"['prime', 'sieve', 'ycce02ycce2016', 'shrikantbadri']",shrikantbadri,118,155,0
RESQ,"['factors', 'june12', 'prime', 'simple', 'nam_adm']",nam_adm,8622,21141,0
DREAM,"['july12', 'simple', 'sorting', 'kam_adm']",kam_adm,997,3682,0
CIELTOMY,"['backtracking', 'cook24', 'simple', 'hiroto_adm']",hiroto_adm,660,2613,0
RRECIPE,"['cook26', 'simple', 'simple-math', 'nikhil_adm']",nikhil_adm,5543,15718,0
MAXCOMP,"['oct12', 'simple', 'khad_adm']",khad_adm,2383,7187,0
EQUALIZ,"['cook27', 'simple-math', 'gennady_adm']",gennady_adm,337,880,0
LEDIV,"['cook28', 'simple', 'simple-math', 'witaliy_adm']",witaliy_adm,2686,14471,0
ARIGEOM,"['dec12', 'medium', 'simple-math', 'ankul_adm']",ankul_adm,261,3401,0
SEREJA,"['dec12', 'medium', 'simple-math', 'roman_adm']",roman_adm,399,2627,0
BIT,"['cakewalk', 'cdcrft14', 'simulation', 'darkshadows']",darkshadows,1116,1606,0
ATOM,"['cdcrft14', 'simple', 'simulation', 'darkshadows']",darkshadows,594,3076,0
DIVGOLD,"['cakewalk', 'cook56', 'simulation', 'sorting', 'witaliy_adm']",witaliy_adm,952,7211,0
VISITALL,"['cook56', 'easy', 'simulation', 'witaliy_adm']",witaliy_adm,48,158,0
CBARG,"['cakewalk', 'june15', 'simulation', 'vitalij_adm']",vitalij_adm,11407,19033,0
AMR14I,"['amr14ros', 'easy', 'simulation', 'murdocc007']",murdocc007,814,3654,0
SEALINE,"['cook64', 'easy', 'implementation', 'simulation', 'sereja_adm']",sereja_adm,677,1280,0
AMR15A,"['acmamr15', 'easy', 'simple', 'simulation', 'suh_ash2008']",suh_ash2008,11882,19804,0
MULDIG,"['implementation', 'july17', 'medium-hard', 'simulation', 'errichto']",errichto,346,757,0
NICENESS,"['greedy', 'snck15fl', 'admin2']",admin2,156,504,0
GUARDS,"['annealing', 'backtracking', 'computation', 'pruning', 'randomized', 'simulated', 'snck15fl', 'sergey_adm']",sergey_adm,21,67,0
TENNIS,"['dynamic-programming', 'probability', 'snck15fl', 'istva_adm']",istva_adm,84,204,0
BUGATACK,"['combinatorics', 'dynamic-programming', 'floyd-warshall', 'graph', 'snck15fl', 'utkarsh_lath']",utkarsh_lath,34,87,0
SHUFFLE2,"['crt', 'permutation', 'snck15fl', 'splay-trees', 'sergey_adm']",sergey_adm,29,192,0
RAMSINSP,"['combinatorics', 'cycle', 'eulerian', 'snck15fl', 'kevinsogo']",kevinsogo,16,63,0
TIMETRAV,"['dynamic-programming', 'greedy', 'snck15fl', 'treeroot', 'admin2']",admin2,63,204,0
FUZZYADD,"['amortization', 'distribution', 'probability', 'snck15fl', 'kevinsogo']",kevinsogo,30,95,0
HORSES,"['sep12', 'sorting', 'vamsi_adm']",vamsi_adm,20934,58576,0
CVOTE,"['jan13', 'map', 'simple', 'sorting', 'kaush_adm']",kaush_adm,3100,8391,0
AMMEAT,"['ad-hoc', 'cakewalk', 'cook33', 'sorting', 'witaliy_adm']",witaliy_adm,3684,12178,0
TACHSTCK,"['cakewalk', 'cook36', 'greedy', 'sorting', 'tuan_adm']",tuan_adm,5380,12720,0
SEASOR,"['ad-hoc', 'challenge', 'july13', 'sorting', 'sereja_adm']",sereja_adm,10567,16339,0
RRJAM,"['cook53', 'hard', 'sqrt-decomp', 'roman_adm']",roman_adm,131,668,0
QCHEF,"['march15', 'medium', 'sqrt-decomp', 'gomelfk']",gomelfk,4041,7030,0
GOC205,"['sqrt-decomp', 'giriraj']",giriraj,65,106,0
CBAL,"['may15', 'medium-hard', 'sqrt-decomp', 'ma5termind']",ma5termind,2305,3897,0
CHEFNKCH,"['range', 'range-trees', 'snck15fl', 'sqrt-decomp', 'kevinsogo']",kevinsogo,3,26,0
DISTNUM,"['2d', 'aug15', 'fenwick-tree', 'range-tree', 'segment-tree', 'sqrt-decomp', 'super-hard', 'mgch']",mgch,3401,4771,0
INVERT,"['binary', 'binary-search', 'data-structure', 'hard', 'ltime27', 'sqrt-decomp', 'ma5termind']",ma5termind,162,278,0
KOL15C,"['acmkol15', 'medium', 'offline', 'range-sum', 'sqrt-decomp', 'devuy11']",devuy11,276,1710,0
BNGAME,"['easy', 'ltime12', 'stl', 'two-pointers', 'sergey_adm']",sergey_adm,184,668,0
GOOGOL05,"['lexicographical', 'sorting', 'stl', 'string', 'surajjumpy']",surajjumpy,658,1018,0
CHEFTMA,"['greedy', 'jan16', 'simple', 'stl', 'berezin']",berezin,4387,9423,0
TRACTK2,"['graph', 'stl', 'NE']",NE,0,0,0
KJCP01,"['bst', 'kcpr2016', 'map', 'pair', 'sorting', 'stl', 'vector', 'vedipen']",vedipen,125,310,0
KJCP3,"['iterations', 'kcpr2016', 'map', 'sets', 'stl', 'vedipen']",vedipen,142,278,0
KJCP02,"['easy', 'hashing', 'kcpr2016', 'maps', 'stl', 'vedipen']",vedipen,132,796,0
IPCTRAIN,"['easy', 'greedy', 'heap', 'july17', 'stl', 'admin2']",admin2,10961,22385,0
GPTRIPLE,"['dynamic-programming', 'easy-medium', 'popc2018', 'stl', 'akshayvenkat97']",akshayvenkat97,24,101,0
MOU1H,"['july13', 'lcp', 'medium', 'string', 'suffix-array', 'vitalij_adm']",vitalij_adm,914,4493,0
SUBSTR,"['acmkgp13', 'ad-hoc', 'easy', 'string', 'sergey_adm']",sergey_adm,589,2121,0
PALIN3,"['cook44', 'manacher', 'medium', 'string', 'kostya_by']",kostya_by,93,653,0
RIT03,"['math', 'medium', 'rivalryofcode', 'string', 'dvlpr_expert']",dvlpr_expert,38,260,0
CHEFSTLT,"['cakewalk', 'ltime25', 'string', 'furko_adm']",furko_adm,9226,12443,0
AMSTRING,"['cook33', 'easy', 'sliding-window', 'strings', 'witaliy_adm']",witaliy_adm,290,1271,0
TMP01,"['hard', 'sept13', 'strings', 'suffix-trees', 'gerald']",gerald,127,1355,0
TAEDITOR,"['bit', 'ltime14', 'medium-hard', 'segment-tree', 'strings', 'tuan_adm']",tuan_adm,1301,3025,0
CLCO06,"['cakewalk', 'clco2015', 'easy', 'externalcontest', 'sorting', 'strings', 'rjohari23']",rjohari23,212,634,0
CLCO08,"['clco2015', 'combinations', 'dynamic-programming', 'externalcontest', 'hard', 'permutations', 'strings', 'rjohari23']",rjohari23,17,34,0
DIFTRIP,"['dec12', 'hard', 'suffix-array', 'tuan_adm']",tuan_adm,228,1517,0
STRQUERY,"['april13', 'hard', 'suffix-array', 'treap', 'wjmzbmr']",wjmzbmr,128,1797,0
GERALD3	,"['balanced-tree', 'cook41', 'lcp', 'medium', 'suffix-array', 'NE']",NE,0,0,0
TANGLED,"['hard', 'lcp', 'ltime02', 'suffix-array', 'utkarsh_lath']",utkarsh_lath,790,1454,0
ANUSAR,"['cook46', 'disjoint-set', 'medium-hard', 'segment-tree', 'stack', 'suffix-array', 'suffix-trees', 'anudeep2011']",anudeep2011,195,799,0
QSTRING,"['medium', 'oct14', 'suffix-array', 'xiaodao']",xiaodao,123,1235,0
TREES,"['medium', 'sept10', 'tree', 'syco_adm']",syco_adm,126,631,0
TESTERS,"['feb13', 'hard', 'tree', 'roman_adm']",roman_adm,127,1370,0
TRANSFIG,"['cook35', 'medium', 'tree', 'prad_adm']",prad_adm,53,197,0
KGP13A,"['floyd-warshall', 'kgp13acm', 'tree', 'jingbo_adm']",jingbo_adm,90,155,0
BINTREE,"['april14', 'easy', 'tree', 'darkshadows']",darkshadows,8396,15646,0
KGP13G,"['dynamic-programming', 'easy-medium', 'kgp13acm', 'trie', 'jingbo_adm']",jingbo_adm,74,281,0
SUBBXOR,"['cdcrft14', 'medium', 'trie', 'darkshadows']",darkshadows,290,781,0
MINXOR,"['cook44', 'decomposition', 'medium', 'sqrt', 'trie', 'kostya_by']",kostya_by,142,1103,0
SUBQUERY,"['ltime13', 'medium', 'suffix_automata', 'trie', 'sergey_adm']",sergey_adm,330,1037,0
BANKPASS,"['easy-medium', 'trie', 'prog_iitmandi']",prog_iitmandi,305,786,0
MCO16304,"['easy-medium', 'mco1602', 'trie', 'zscoder']",zscoder,81,255,0
ANUSFR,"['cook51', 'greedy', 'hard', 'segment-tree', 'two-pointers', 'anudeep2011']",anudeep2011,32,200,0
ACM14KG1,"['acmkg14r', 'easy-medium', 'sorting', 'two-pointers', 'admin']",admin,22,248,0
SWINDOW,"['cook75', 'medium', 'segment-tree', 'two-pointers', 'darkshadows']",darkshadows,56,267,0
MIXFLVOR,"['cook79', 'gauss-elim', 'medium-hard', 'two-pointers', 'kingofnumbers']",kingofnumbers,50,165,0
BRIBETR,"['dynamic-programming', 'ltime45', 'medium', 'two-pointers', 'errichto']",errichto,471,823,0
MAXSEGM,"['easy', 'ltime49', 'two-pointers', 'grumpy_gordon']",grumpy_gordon,3016,7941,0
JABO,"['disjoint-set', 'medium', 'nov12', 'union-find', 'vinay_adm']",vinay_adm,414,2617,0
GALACTIK,"['disjoint-set', 'easy', 'july13', 'mst', 'union-find', 'jay_adm']",jay_adm,1827,10669,0
DISHOWN,"['disjoint-set', 'easy', 'july14', 'union-find', 'vivek_adm']",vivek_adm,3862,24391,0
TREECNT2,"['hard', 'march15', 'mobius_function', 'union-find', 'sergey_adm']",sergey_adm,1117,2545,0
MTRWY,"['easy', 'march15', 'union-find', 'antoniuk1']",antoniuk1,2861,6901,0
MAGICSTR,"['ipc151a', 'pigeonhole', 'union-find', 'skullcrackers']",skullcrackers,251,851,0
PARITREE,"['bicolor', 'graph', 'march16', 'medium', 'union-find', 'xor', 'admin2']",admin2,1317,3758,0
MAZE,"['bfs', 'cook70', 'dfs', 'dual-graph', 'easy-medium', 'union-find', 'wwwwodddd']",wwwwodddd,39,301,0
TREEDIAM,"['lca', 'ltime39', 'medium', 'tree', 'union-find', 'sergey_adm']",sergey_adm,141,432,0
IITK1P01,"['dynamic-programming', 'medium', 'wpc1', 'wpc1401', 'admin2']",admin2,87,192,0
IITK1P02,"['easy', 'iitk', 'wpc1', 'wpc1401', 'admin2']",admin2,940,2026,0
IITK1P03,"['iitk', 'iitkpc03', 'knapsack', 'meet-in-middle', 'wpc', 'wpc1', 'wpc1401', 'admin2']",admin2,35,130,0
IITK1P05,"['cakewalk', 'iitk', 'wpc', 'wpc1', 'wpc1401', 'admin2']",admin2,1289,2251,0
IITK1P10,"['dfs-order', 'iitk', 'tree', 'wpc1', 'wpc1401', 'admin2']",admin2,487,911,0
IITK1P11,"['cakewalk', 'iitk', 'wpc', 'wpc1', 'wpc1401', 'admin2']",admin2,1028,2528,0
IITK1P08,"['expectation', 'floating', 'medium', 'probability', 'wpc1', 'wpc1401', 'admin2']",admin2,30,177,0
TAPAIR,"['dfs-order', 'hard', 'jan14', 'xor', 'tuan_adm']",tuan_adm,245,1027,0
GOOGOL06,"['hard', 'lazy', 'propagation', 'segment-tree', 'xor', 'surajjumpy']",surajjumpy,32,107,0
CHEFAXR,"['bit', 'easy', 'ltime25', 'matrix', 'xor', 'furko_adm']",furko_adm,733,2435,0
LTM40GH,"['lca', 'ltime40', 'medium', 'optimization', 'tree', 'xor', 'mgch']",mgch,217,858,0
SPECRK,"['bit', 'bitf2016', 'easy', 'manipulation', 'xor', 'kaushambi']",kaushambi,400,813,0
ZCO15001,"['dynamic-programming', 'zco', 'zcoprac', 'admin3']",admin3,753,2279,0
ZCO16002,"['dynamic-programming', 'zco', 'zcoprac', 'anukul']",anukul,728,1687,0
ZCO14003,"['vivek1_007', 'zco', 'zcoprac', 'admin3']",admin3,10314,25445,0
ZCO14001,"['vivek1_007', 'zco', 'zcoprac', 'admin3']",admin3,5824,14446,0
ZCO13003,"['vivek1_007', 'zcoprac', 'admin3']",admin3,8748,14435,0
ZCO13001,"['vivek1_007', 'zcoprac', 'admin3']",admin3,11313,15470,0
ZCO14002,"['vivek1_007', 'zco', 'zcoprac', 'admin3']",admin3,2296,9203,0
ZCO14004,"['vivek1_007', 'zco', 'zcoprac', 'admin3']",admin3,1639,3986,0
ZCO16001,"['zco', 'zcoprac', 'anukul']",anukul,1653,5988,0
ZCO13002,"['vivek1_007', 'zcoprac', 'admin3']",admin3,854,1888,0
JAGAM,"['ad-hoc', 'game', 'ltime63']",allllekssssa,292,413,69
CHEFCODE,"['long-contest', 'may17']",prateekg603,411,468,883
CHEFDIV,['april17'],saluja123,217,235,459
WSITES01,"['long-contest', 'may17']",ismagilov,393,504,300
CK87GSUB,"['combinatorics', 'cook87', 'counting', 'easy']",mhammad1,451,664,0
CK87MEDI,"['cakewalk', 'cook87', 'median', 'sorting']",saeed_sryhini,1995,2226,0
PSTRINGS,['acmamr12'],admin,39,68,0
SMARKET,"['april17', 'medium', 'segment-tree']",pkacprzak,208,243,199
DGTCNT,['april17'],acyume,92,110,118
CK87QUER,"['cook87', 'mhammad1', 'simple', 'sorting', 'two-pointers']",saeed_sryhini,661,807,0
RNDGRID,['april17'],errichto,23,32,79
ANUMLA,"['cook51', 'easy', 'greedy', 'heap', 'multiset']",anudeep2011,934,1569,0
RECTANGL,"['cakewalk', 'jan18', 'kingofnumbers']",kingofnumbers,2285,2761,0
