code,tags,author,solved,attempted,partiallySolved
RRATING,"['easy', 'heaps', 'july12', 'vamsi_adm']",vamsi_adm,1066,6659,0
CIELMAP,"['cook24', 'easy', 'geometry', 'hiroto_adm']",hiroto_adm,317,1409,0
COALSCAM,"['cook26', 'easy', 'kruskal', 'nikhil_adm']",nikhil_adm,908,3130,0
PPERM,"['cook26', 'easy', 'sieve', 'nikhil_adm']",nikhil_adm,1308,4045,0
LUCKY10,"['easy', 'greedy', 'oct12', 'witaliy_adm']",witaliy_adm,1789,6501,0
EXGCD,"['cook29', 'easy-medium', 'number-theory', 'david_adm']",david_adm,187,406,0
TASTR,"['cook32', 'easy-medium', 'lcp', 'string', 'suffix-array', 'tuan_adm']",tuan_adm,388,2594,0
LEMOUSE,"['dynamic-programming', 'easy-medium', 'june13', 'witaliy_adm']",witaliy_adm,1115,5069,0
TAACUTE,"['cook36', 'easy-medium', 'geometry', 'sorting', 'tuan_adm']",tuan_adm,90,845,0
STRDIG,"['ad-hoc', 'cook37', 'easy-medium', 'implementation', 'imran_adm']",imran_adm,51,694,0
SORTING,"['easy-medium', 'ltime03', 'persistence', 'segment-tree', 'sergey_adm']",sergey_adm,1028,1903,0
CAOS3,"['dynamic-programming', 'easy-medium', 'oct13', 'sprague-grundy', 'kaush_adm']",kaush_adm,354,2323,0
THEGAME,"['bfs', 'dfs', 'expected-value', 'medium-hard', 'probability', 'sept15', 'xellos0']",xellos0,759,2202,0
CHN15B,"['acmchn15', 'easy', 'expectation', 'expected-value', 'graphs', 'tree', 'arjunarul']",arjunarul,615,1629,0
ASYA3,"['expected-value', 'ipc15p3b', 'medium-hard', 'probability', 'tree', 'pakhandi']",pakhandi,58,128,0
AMCAS,"['acm15amr', 'combinatorics', 'expected-value', 'geometry', 'akash4983']",akash4983,81,455,0
CHEFONM,"['cook72', 'expected-value', 'gauss-elim', 'hard', 'permutation', 'probability', 'mgch']",mgch,41,97,0
GGBHAI,"['bfs', 'easy-medium', 'expected-value', 'tree', 'surajumang08']",surajumang08,117,318,0
CARDS777,"['cook80', 'expected-value', 'medium', 'lg5293']",lg5293,430,750,0
CODIE,"['acm17chn', 'chn17rol', 'expected-value', 'matrix-expo', 'med-hard', 'sidhant007']",sidhant007,29,64,0
COMPEXP,"['acmind17', 'easy-medium', 'expected-value', 'usaxena95']",usaxena95,969,3110,0
CUTTREE,"['centroid-decomp', 'expected-value', 'fft', 'hard', 'march18', 'probability', 'jtnydv25']",jtnydv25,581,988,0
NUMPATH,"['cook40', 'dynamic-programming', 'fenwick', 'medium', 'vineet_adm']",vineet_adm,254,1028,0
LFEB14A,"['fenwick', 'inversions', 'ltime09', 'maths', 'medium', 'sereja_adm']",sereja_adm,161,212,0
CHEFINV,"['fenwick', 'inversions', 'medium', 'sept14', 'berezin']",berezin,559,6586,0
QRECT,"['fenwick', 'hard', 'sept14', 'sqrt-decomp', 'xiaodao']",xiaodao,210,2037,0
ACM14KP2,"['acmkgp14', 'easy-medium', 'fenwick', 'segment-tree', 'sorting', 'admin']",admin,632,3720,0
ACM14KP4,"['acmkgp14', 'dynamic-programming', 'fenwick', 'medium-hard', 'segment-tree', 'admin']",admin,17,84,0
COUNTARI,"['fft', 'hard', 'maths', 'nov12', 'imran_adm']",imran_adm,875,5278,0
FARASA,"['fft', 'hard', 'july13', 'maths', 'sereja_adm']",sereja_adm,467,4098,0
REALSET,"['dec13', 'fft', 'hard', 'maths', 'KADR']",KADR,159,2133,0
TASTRMAT,"['fft', 'hard', 'ltime19', 'tuan_adm']",tuan_adm,330,504,0
DEVLOCK,"['combinatorics', 'dynamic-programming', 'feb15', 'fft', 'math', 'matrix-expo', 'medium-hard', 'admin2']",admin2,1269,2627,0
RNG,"['fft', 'hard', 'march15', 'chen_adm']",chen_adm,591,2399,0
MOREFB,"['fft', 'june15', 'medium', 'amitpandeykgp']",amitpandeykgp,2078,4728,0
ANKNIM2,"['cook59', 'fft', 'game-theory', 'medium-hard', 'code_master01']",code_master01,81,409,0
EASYEX,"['advanced-math', 'combinatorics', 'fft', 'hard', 'july15', 'maths', 'pavel1996']",pavel1996,582,1380,0
MAGIC,"['aug12', 'game', 'graph', 'hard', 'gennady_adm']",gennady_adm,53,266,0
GRIDGAME,"['cook29', 'game', 'medium-hard', 'david_adm']",david_adm,37,168,0
WPLAY,"['easy', 'feb13', 'game', 'kaush_adm']",kaush_adm,271,1955,0
CHEFGM,"['easy-medium', 'game', 'nov13', 'div_adm']",div_adm,679,3734,0
A3,"['explanation', 'game', 'guessing', 'guessinggame', 'u_admin_codechef_pw']",u_admin_codechef_pw,199,2716,0
NUMGAME,"['easy-medium', 'game', 'number-theory', 'syco_adm']",syco_adm,13813,29386,0
RRTREGAM,"['easy-medium', 'game', 'grundy', 'numbers', 'theory', 'npl_nitw']",npl_nitw,65,388,0
PALINGAM,"['ad-hoc', 'aug17', 'easy', 'game', 'admin2']",admin2,14537,22456,0
GAMSTICK,"['cook85', 'game', 'medium', 'melnik']",melnik,112,1535,0
GAMENUMB,"['easy', 'game', 'ltime57', 'sorting', 'kingofnumbers']",kingofnumbers,3314,6154,0
EXPGAME,"['easy-medium', 'game-theory', 'impartial-game', 'ltime05', 'sprague-grundy', 'zero-sum-game', 'vineet_adm']",vineet_adm,400,1369,0
GAMEAAM,"['cook42', 'easy', 'game-theory', 'sprague-grundy', 'satej_adm']",satej_adm,335,2213,0
DIVGAME,"['cook44', 'easy-medium', 'game-theory', 'kostya_by']",kostya_by,517,2785,0
SEAGM,"['dynamic-programming', 'game-theory', 'may14', 'medium', 'sereja_adm']",sereja_adm,313,1364,0
IITK1P06,"['game-theory', 'medium', 'wpc1', 'wpc1401', 'admin2']",admin2,101,436,0
ANKGAME,"['combinatorics', 'cook59', 'counting', 'easy-medium', 'game-theory', 'code_master01']",code_master01,242,1147,0
HAMILG,"['game-theory', 'graphs', 'hard', 'july15', 'matching', 'xellos0']",xellos0,696,1557,0
MAXDIFFW,"['challenge', 'game-theory', 'july15', 'mugurelionut']",mugurelionut,2528,5793,0
PUPPYGM,"['game-theory', 'ltime26', 'pavel1996']",pavel1996,2662,5972,0
AMSGAME1,"['cakewalk', 'cook34', 'gcd', 'satej_adm']",satej_adm,6045,13023,0
COPRIME3,"['easy-medium', 'gcd', 'iep', 'ltime13', 'mobius_function', 'sieve', 'sergey_adm']",sergey_adm,1980,4634,0
GCDQ,"['easy', 'gcd', 'jan15', 'precomputing', 'admin2']",admin2,20181,32490,0
GOC203,"['gcd', 'giriraj']",giriraj,188,706,0
DEVUGRAP,"['cakewalk', 'gcd', 'ltime24', 'amitpandeykgp']",amitpandeykgp,6591,14252,0
EGRCAKE,"['gcd', 'nov15', 'simple', 'egor_bobyk']",egor_bobyk,6722,19848,0
SEAARASU,"['cook64', 'easy', 'gcd', 'mathematics', 'number-theory', 'sereja_adm']",sereja_adm,1363,4301,0
GCDMAX1,"['binary-search', 'easy-medium', 'gcd', 'ipc151a', 'ipcquestion', 'skullcrackers']",skullcrackers,517,1756,0
GCDTREE,"['centroid-decomp', 'data-structure', 'gcd', 'ipc151a', 'skullcrackers']",skullcrackers,75,335,0
ANDOOR,"['geometry', 'jan13', 'medium', 'precision', 'vitalij_adm']",vitalij_adm,263,4036,0
CIRKILL,"['easy', 'geometry', 'july13', 'maths', 'kaush_adm']",kaush_adm,1291,9117,0
NPIN,"['geometry', 'hard', 'july13', 'line-clipping', 'line-sweep', 'vinay_adm']",vinay_adm,43,664,0
RIGHTRI,"['cook37', 'easy', 'geometry', 'imran_adm']",imran_adm,7538,14296,0
TWOROADS,"['discretization', 'geometry', 'hard', 'sept13', 'tuan_adm']",tuan_adm,90,1379,0
HELPLIRA,"['cakewalk', 'geometry', 'oct13', 'bruno_adm']",bruno_adm,5086,15672,0
MACGUN,"['aug12', 'graph', 'matching', 'medium', 'anhdq_adm']",anhdq_adm,168,2750,0
